gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2023-03-12,0,1,0.978208685,0.656920532,0.389980839,0.2027747286,0.091264956,0.04955030577,1,1,2305,Kansas,89.62,West,1,64
mens,2023-03-12,0,1,0.02179131501,0.001381552287,9.69E-05,6.00E-06,3.90E-07,3.67E-08,1,1,47,Howard,69.31,West,16,66
mens,2023-03-12,0,1,0.5152792843,0.1786977927,0.08560010115,0.03555120905,0.0135638247,0.006423510042,1,1,8,Arkansas,85.1,West,8,68
mens,2023-03-12,0,1,0.4847207157,0.1630001231,0.07276062145,0.02812113971,0.009739409146,0.004250927604,1,1,356,Illinois,84.54,West,9,70
mens,2023-03-12,0,1,0.5850619342,0.1805805148,0.09202951881,0.0452936609,0.01554922359,0.006736091688,1,1,2608,Saint Mary's (CA),85.91,West,5,72
mens,2023-03-12,0,1,0.4149380658,0.1066667541,0.02990090804,0.008561071018,0.002290121835,0.000799867484,1,1,2670,Virginia Commonwealth,81.65,West,12,74
mens,2023-03-12,0,1,0.8463920293,0.6454022011,0.3149879535,0.1489647154,0.06123558762,0.03085830748,1,1,41,Connecticut,89.24,West,4,76
mens,2023-03-12,0,1,0.1536079707,0.06735053006,0.01464312254,0.003328762788,0.000710820032,0.000203313472,1,1,314,Iona,79.63,West,13,78
mens,2023-03-12,0,1,0.6789642884,0.2595505733,0.1154220869,0.05134108707,0.02031566934,0.009918584884,1,1,2628,Texas Christian,85.41,West,6,80
mens,2023-03-12,1,0.5437263863,0.1828208184,0.05001147822,0.0190864049,0.00736815502,0.001883723717,0.000632263307,0,1,9,Arizona State,80.34,West,11a,82
mens,2023-03-12,1,0.4562736137,0.1382148932,0.03441151373,0.01228071902,0.004455151724,0.001025486035,0.000313651985,0,1,2440,Nevada,79.59,West,11b,83
mens,2023-03-12,0,1,0.9163241459,0.636505465,0.3765891983,0.2188172416,0.09020172523,0.04556037227,1,1,2250,Gonzaga,89.92,West,3,84
mens,2023-03-12,0,1,0.08367585412,0.01952096981,0.004224045665,0.000960371562,0.000143974551,2.98E-05,1,1,2253,Grand Canyon,75.9,West,14,86
mens,2023-03-12,0,1,0.4126737959,0.1095578615,0.03383619016,0.0116553623,0.00334637255,0.001243199446,1,1,77,Northwestern,82.24,West,7,88
mens,2023-03-12,0,1,0.5873262041,0.1876089984,0.06558135488,0.02519834743,0.006470498191,0.002180205221,1,1,68,Boise State,82.59,West,10,90
mens,2023-03-12,0,1,0.9545936164,0.6956410216,0.3722794369,0.2075194645,0.07504675614,0.03397602431,1,1,26,UCLA,88.26,West,2,92
mens,2023-03-12,0,1,0.04540638364,0.007192118453,0.000700563278,8.35E-05,9.58E-06,1.55E-06,1,1,2427,North Carolina-Asheville,73.02,West,15,94
mens,2023-03-12,0,1,0.9710475468,0.741489232,0.5882483236,0.4065580254,0.3086215068,0.2208501696,1,1,248,Houston,93.22,Midwest,1,96
mens,2023-03-12,0,1,0.02895245321,0.003638409087,0.000675057727,9.99E-05,1.45E-05,2.19E-06,1,1,94,Northern Kentucky,72.86,Midwest,16,98
mens,2023-03-12,0,1,0.419077203,0.0956805807,0.05798083929,0.02866310304,0.01236569162,0.005105940814,1,1,2294,Iowa,84.44,Midwest,8,100
mens,2023-03-12,0,1,0.580922797,0.1591917782,0.08979666609,0.04094329876,0.01850849851,0.007978505483,1,1,2,Auburn,84.87,Midwest,9,102
mens,2023-03-12,0,1,0.5944475956,0.2642674551,0.06106741153,0.02369274506,0.009442571984,0.003625692342,1,1,2390,Miami (FL),83.6,Midwest,5,104
mens,2023-03-12,0,1,0.4055524044,0.1515221378,0.03533342135,0.01380271911,0.004600654536,0.001500815991,1,1,2181,Drake,81.18,Midwest,12,106
mens,2023-03-12,0,1,0.7373165382,0.4702080136,0.1487180701,0.07252107555,0.03250692171,0.01390379827,1,1,84,Indiana,85.81,Midwest,4,108
